,id,id_x,value,title,unit,id_y,Aggregationmethod,Generalcomments,IndicatorName,License_Type,License_URL,Longdefinition,Periodicity,Source,Topic,Developmentrelevance,Limitationsandexceptions,Statisticalconceptandmethodology,Shortdefinition,BasePeriod,Notesfromoriginalsource,Dataset
40,LP.LPI.LOGS.XQ,LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),Logistics performance index: Competence and quality of logistics services,1=low to 5=high,LP.LPI.LOGS.XQ,Unweighted average,,Logistics performance index: Competence and quality of logistics services (1=low to 5=high),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents evaluated the overall level of competence and quality of logistics services (e.g. transport operators, customs brokers), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.",Annual,"Data are available online at: https://lpi.worldbank.org/. Summary results are published in World Bank (2023): Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators.",Private Sector & Trade: Trade facilitation,"The LPI measures on-the-ground trade logistics performance, helping national leaders, key policymakers, and private sector traders understand the challenges they and their trading partners face in reducing logistical barriers to international commerce. As the backbone of international trade, logistics encompasses freight transportation, warehousing, border clearance, payment systems, and many other functions. These functions are performed mostly by private service providers for private traders and owners of goods, but logistics is also important for the public policies of national governments and regional and international organizations. Because global supply chains are so varied and complex, the efficiency of logistics depends on government services, investments, and policies. Building infrastructure, developing a regulatory regime for transport services, and designing and implementing efficient customs clearance procedures are all areas where governments play an important role.  The improvements in global logistics over the past two decades have been driven by innovation and a great increase in global trade. While policies and investments that enable good logistics practices help modernize the best-performing countries, logistics still lags in many developing countries. Indeed, the ""logistics gap"" evident in the first two editions of this report remains.  The importance of logistics performance for economic growth, diversification, and poverty reduction has long been widely recognized. National governments can facilitate trade through investments in both ""hard"" and ""soft"" infrastructure. Countries have improved their logistics performance by implementing strategic and sustained interventions, mobilizing actors across traditional sector silos, and involving the private sector. Logistics is also increasingly important for sustainability. A focus on the environmental impacts of logistics practices is also included in the LPI.","The Logistics Performance Index is an interactive benchmarking tool created to help countries identify the challenges and opportunities they face in their performance on trade logistics and what they can do to improve their performance. Despite being the most comprehensive data source for country logistics and trade facilitation, the LPI has two important limitations. First, the experience of international freight forwarders might not represent the broader logistics environment in poor countries, which often rely on traditional operators. And the international and traditional operators might differ in their interactions with government agencies - and in their service levels. Second, for landlocked countries and small-island states, the LPI might reflect access problems outside the country assessed, such as transit difficulties. The low rating of a landlocked country might not adequately reflect its trade facilitation efforts, which depend on the workings of complex international transit systems. Landlocked countries cannot eliminate transit inefficiencies with domestic reforms.","The indicator presents data from Logistics Performance Surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics.  The Logistics Performance Index (LPI) uses a structured online survey of logistics professionals at multinational freight forwarders and the main express carriers. The 2023 International LPI covers 139 countries. Each survey respondent rates eight overseas markets on six core components of logistics performance (the efficiency of customs and border management clearance, the quality of trade and transport infrastructure, the ease of arranging competitively priced shipments, the competence and quality of logistics services, the ability to track and trace consignments, and the frequency shipments reach consignees within scheduled or expected delivery times). The components are rated on a scale (lowest score to highest score) from 1 to 5.  The eight countries are chosen based on the most important export and import markets of the country where the respondent is located, on random selection, and - for landlocked countries - on neighboring countries that form part of the land bridge connecting them with international markets.  The method used to select the group of countries rated by each respondent varies by the characteristics of the country where the respondent is located. If respondents did not provide information for all six components, interpolation is used to fill in missing values. The missing values are replaced with the country mean response for each question, adjusted by the respondent's average deviation from the country mean in the answered questions.  The LPI is constructed from the six indicators using principal component analysis (PCA), a standard statistical technique used to reduce the dimensionality of a dataset. In the LPI, the inputs for PCA are country scores the questions covering the main six components, averaged across all respondents providing data on a given overseas market. Scores are normalized by subtracting the sample mean and dividing by the standard deviation before conducting PCA. The output from PCA is a single indicator - the LPI - that is a weighted average of those scores. The weights are chosen to maximize the percentage of variation in the LPI's original six indicators. To construct the international LPI, normalized scores for each of the six original indicators are multiplied by their component loadings and then summed. The component loadings represent the weight given to each original indicator in constructing the international LPI. Since the loadings are similar for all six, the international LPI is close to a simple average of the indicators. To account for the sampling error created by the LPI's survey-based dataset, LPI scores are presented with approximate 80 percent confidence intervals.","Logistics professionals' perception of country's overall level of competence and quality of logistics services (e.g. transport operators, customs brokers), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.",,,
41,LP.LPI.OVRL.XQ,LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high),Logistics performance index: Overall,1=low to 5=high,LP.LPI.OVRL.XQ,Unweighted average,,Logistics performance index: Overall (1=low to 5=high),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The Logistics Performance Index overall score reflects perceptions of a country's logistics based on the efficiency of customs clearance process, quality of trade- and transport-related infrastructure, ease of arranging competitively priced shipments, quality of logistics services, ability to track and trace consignments, and frequency with which shipments reach the consignee within the scheduled time. The index ranges from 1 to 5, with a higher score representing better performance. 
Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. 
Scores for the six areas are averaged across all respondents and aggregated to a single score using principal components analysis. 
Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report.",Annual,"Data are available online at: https://lpi.worldbank.org/. Summary results are published in World Bank (2023): Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators.",Private Sector & Trade: Trade facilitation,"The LPI measures on-the-ground trade logistics performance, helping national leaders, key policymakers, and private sector traders understand the challenges they and their trading partners face in reducing logistical barriers to international commerce. As the backbone of international trade, logistics encompasses freight transportation, warehousing, border clearance, payment systems, and many other functions. These functions are performed mostly by private service providers for private traders and owners of goods, but logistics is also important for the public policies of national governments and regional and international organizations. Because global supply chains are so varied and complex, the efficiency of logistics depends on government services, investments, and policies. Building infrastructure, developing a regulatory regime for transport services, and designing and implementing efficient customs clearance procedures are all areas where governments play an important role.  The improvements in global logistics over the past two decades have been driven by innovation and a great increase in global trade. While policies and investments that enable good logistics practices help modernize the best-performing countries, logistics still lags in many developing countries. Indeed, the ""logistics gap"" evident in the first two editions of this report remains.  The importance of logistics performance for economic growth, diversification, and poverty reduction has long been widely recognized. National governments can facilitate trade through investments in both ""hard"" and ""soft"" infrastructure. Countries have improved their logistics performance by implementing strategic and sustained interventions, mobilizing actors across traditional sector silos, and involving the private sector. Logistics is also increasingly important for sustainability. A focus on the environmental impacts of logistics practices is also included in the LPI.","The Logistics Performance Index is an interactive benchmarking tool created to help countries identify the challenges and opportunities they face in their performance on trade logistics and what they can do to improve their performance. Despite being the most comprehensive data source for country logistics and trade facilitation, the LPI has two important limitations. First, the experience of international freight forwarders might not represent the broader logistics environment in poor countries, which often rely on traditional operators. And the international and traditional operators might differ in their interactions with government agencies - and in their service levels. Second, for landlocked countries and small-island states, the LPI might reflect access problems outside the country assessed, such as transit difficulties. The low rating of a landlocked country might not adequately reflect its trade facilitation efforts, which depend on the workings of complex international transit systems. Landlocked countries cannot eliminate transit inefficiencies with domestic reforms.","The indicator presents data from Logistics Performance Surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics.  The Logistics Performance Index (LPI) uses a structured online survey of logistics professionals at multinational freight forwarders and the main express carriers. The 2023 International LPI covers 139 countries. Each survey respondent rates eight overseas markets on six core components of logistics performance (the efficiency of customs and border management clearance, the quality of trade and transport infrastructure, the ease of arranging competitively priced shipments, the competence and quality of logistics services, the ability to track and trace consignments, and the frequency shipments reach consignees within scheduled or expected delivery times). The components are rated on a scale (lowest score to highest score) from 1 to 5.  The eight countries are chosen based on the most important export and import markets of the country where the respondent is located, on random selection, and - for landlocked countries - on neighboring countries that form part of the land bridge connecting them with international markets.  The method used to select the group of countries rated by each respondent varies by the characteristics of the country where the respondent is located. If respondents did not provide information for all six components, interpolation is used to fill in missing values. The missing values are replaced with the country mean response for each question, adjusted by the respondent's average deviation from the country mean in the answered questions.  The LPI is constructed from the six indicators using principal component analysis (PCA), a standard statistical technique used to reduce the dimensionality of a dataset. In the LPI, the inputs for PCA are country scores the questions covering the main six components, averaged across all respondents providing data on a given overseas market. Scores are normalized by subtracting the sample mean and dividing by the standard deviation before conducting PCA. The output from PCA is a single indicator - the LPI - that is a weighted average of those scores. The weights are chosen to maximize the percentage of variation in the LPI's original six indicators. To construct the international LPI, normalized scores for each of the six original indicators are multiplied by their component loadings and then summed. The component loadings represent the weight given to each original indicator in constructing the international LPI. Since the loadings are similar for all six, the international LPI is close to a simple average of the indicators. To account for the sampling error created by the LPI's survey-based dataset, LPI scores are presented with approximate 80 percent confidence intervals.","The Logistics Performance Index overall score reflects perceptions of a country's logistics based on efficiency of customs clearance process, quality of trade- and transport-related infrastructure, ease of arranging competitively priced shipments, quality of logistics services, ability to track and trace consignments, and frequency with which shipments reach the consignee within the scheduled time. The index ranges from 1 to 5, with a higher score representing better performance.",,,
42,LP.LPI.INFR.XQ,LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),Logistics performance index: Quality of trade and transport-related infrastructure,1=low to 5=high,LP.LPI.INFR.XQ,Unweighted average,,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data are from the Logistics Performance Index survey conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics. Respondents evaluate eight countries on six core dimensions on a scale from 1 (worst) to 5 (best). The eight countries are chosen based on the most important export and import markets of the respondent's country, random selection, and, for landlocked countries, neighboring countries that connect them with international markets. The 2023 LPI survey was conducted from September 6 to November 5, 2022. It provided 4,090 country assessments by 652 logistics professionals in 115 countries in all World Bank regions. Details of the survey methodology and index construction methodology are included in Appendix 5 of the 2023 LPI report available at: https://lpi.worldbank.org/report. Respondents evaluated the quality of trade and transport related infrastructure (e.g. ports, railroads, roads, information technology), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.",Annual,"Data are available online at: https://lpi.worldbank.org/. Summary results are published in World Bank (2023): Connecting to Compete: Trade Logistics in the Global Economy, The Logistics Performance Index and Its Indicators.",Private Sector & Trade: Trade facilitation,"The LPI measures on-the-ground trade logistics performance, helping national leaders, key policymakers, and private sector traders understand the challenges they and their trading partners face in reducing logistical barriers to international commerce. As the backbone of international trade, logistics encompasses freight transportation, warehousing, border clearance, payment systems, and many other functions. These functions are performed mostly by private service providers for private traders and owners of goods, but logistics is also important for the public policies of national governments and regional and international organizations. Because global supply chains are so varied and complex, the efficiency of logistics depends on government services, investments, and policies. Building infrastructure, developing a regulatory regime for transport services, and designing and implementing efficient customs clearance procedures are all areas where governments play an important role.  The improvements in global logistics over the past two decades have been driven by innovation and a great increase in global trade. While policies and investments that enable good logistics practices help modernize the best-performing countries, logistics still lags in many developing countries. Indeed, the ""logistics gap"" evident in the first two editions of this report remains.  The importance of logistics performance for economic growth, diversification, and poverty reduction has long been widely recognized. National governments can facilitate trade through investments in both ""hard"" and ""soft"" infrastructure. Countries have improved their logistics performance by implementing strategic and sustained interventions, mobilizing actors across traditional sector silos, and involving the private sector. Logistics is also increasingly important for sustainability. A focus on the environmental impacts of logistics practices is also included in the LPI.","The Logistics Performance Index is an interactive benchmarking tool created to help countries identify the challenges and opportunities they face in their performance on trade logistics and what they can do to improve their performance. Despite being the most comprehensive data source for country logistics and trade facilitation, the LPI has two important limitations. First, the experience of international freight forwarders might not represent the broader logistics environment in poor countries, which often rely on traditional operators. And the international and traditional operators might differ in their interactions with government agencies - and in their service levels. Second, for landlocked countries and small-island states, the LPI might reflect access problems outside the country assessed, such as transit difficulties. The low rating of a landlocked country might not adequately reflect its trade facilitation efforts, which depend on the workings of complex international transit systems. Landlocked countries cannot eliminate transit inefficiencies with domestic reforms.","The indicator presents data from Logistics Performance Surveys conducted by the World Bank in partnership with academic and international institutions and private companies and individuals engaged in international logistics.  The Logistics Performance Index (LPI) uses a structured online survey of logistics professionals at multinational freight forwarders and the main express carriers. The 2023 International LPI covers 139 countries. Each survey respondent rates eight overseas markets on six core components of logistics performance (the efficiency of customs and border management clearance, the quality of trade and transport infrastructure, the ease of arranging competitively priced shipments, the competence and quality of logistics services, the ability to track and trace consignments, and the frequency shipments reach consignees within scheduled or expected delivery times). The components are rated on a scale (lowest score to highest score) from 1 to 5.  The eight countries are chosen based on the most important export and import markets of the country where the respondent is located, on random selection, and - for landlocked countries - on neighboring countries that form part of the land bridge connecting them with international markets.  The method used to select the group of countries rated by each respondent varies by the characteristics of the country where the respondent is located. If respondents did not provide information for all six components, interpolation is used to fill in missing values. The missing values are replaced with the country mean response for each question, adjusted by the respondent's average deviation from the country mean in the answered questions.  The LPI is constructed from the six indicators using principal component analysis (PCA), a standard statistical technique used to reduce the dimensionality of a dataset. In the LPI, the inputs for PCA are country scores the questions covering the main six components, averaged across all respondents providing data on a given overseas market. Scores are normalized by subtracting the sample mean and dividing by the standard deviation before conducting PCA. The output from PCA is a single indicator - the LPI - that is a weighted average of those scores. The weights are chosen to maximize the percentage of variation in the LPI's original six indicators. To construct the international LPI, normalized scores for each of the six original indicators are multiplied by their component loadings and then summed. The component loadings represent the weight given to each original indicator in constructing the international LPI. Since the loadings are similar for all six, the international LPI is close to a simple average of the indicators. To account for the sampling error created by the LPI's survey-based dataset, LPI scores are presented with approximate 80 percent confidence intervals.","Logistics professionals' perception of country's quality of trade and transport related infrastructure (e.g. ports, railroads, roads, information technology), on a rating ranging from 1 (very low) to 5 (very high). Scores are averaged across all respondents.",,,
43,TM.VAL.MANF.ZS.UN,TM.VAL.MANF.ZS.UN,Manufactures imports (% of merchandise imports),Manufactures imports,% of merchandise imports,TM.VAL.MANF.ZS.UN,Weighted average,Merchandise import shares may not sum to 100 percent because of unclassified trade.,Manufactures imports (% of merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Manufactures comprise the commodities in SITC sections 5 (chemicals), 6 (basic manufactures), 7 (machinery and transport equipment), and 8 (miscellaneous manufactured goods), excluding division 68 (nonferrous metals).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,Private Sector & Trade: Imports,,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,,,,
44,TX.VAL.MRCH.CD.WT,TX.VAL.MRCH.CD.WT,Merchandise exports (current US$),Merchandise exports,current US$,TX.VAL.MRCH.CD.WT,Gap-filled total,,Merchandise exports (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise exports show the f.o.b. value of goods provided to the rest of the world valued in current U.S. dollars.,Annual,World Trade Organization.,Private Sector & Trade: Exports,,"Exports are recorded as the cost of the goods delivered to the frontier of the exporting country for shipment - the free on board (f.o.b.) value.

Countries may report trade according to the general or special system of trade. Under the general system exports comprise outward-moving goods that are (a) goods wholly or partly produced in the country; (b) foreign goods, neither transformed nor declared for domestic consumption in the country, that move outward from customs storage; and (c) goods previously included as imports for domestic consumption but subsequently exported without transformation. Under the special system exports comprise categories a and c. In some compilations categories b and c are classified as re-exports. Because of differences in reporting practices, data on exports may not be fully comparable across economies.

Data on exports of goods are derived from the same sources as data on imports. In principle, world exports and imports should be identical. Similarly, exports from an economy should equal the sum of imports by the rest of the world from that economy. But differences in timing and definitions result in discrepancies in reported values at all levels.","Merchandise trade data are from customs reports of goods moving into or out of an economy or from reports of financial transactions related to merchandise trade recorded in the balance of payments. Because of differences in timing and definitions, trade flow estimates from customs reports and balance of payments may differ. Several international agencies process trade data, each correcting unreported or misreported data, leading to other differences.

The data on total exports of goods (merchandise) are from the World Trade Organization (WTO), which obtains data from national statistical offices and the IMF's International Financial Statistics, supplemented by the Comtrade database and publications or databases of regional organizations, specialized agencies, economic groups, and private sources (such as Eurostat, the Food and Agriculture Organization, and country reports of the Economist Intelligence Unit). Country websites and email contact have improved collection of up-to-date statistics, reducing the proportion of estimates. The WTO database now covers most major traders in Africa, Asia, and Latin America, which together with high-income countries account for nearly 95 percent of world trade. Reliability of data for countries in Europe and Central Asia has also improved.",,,,
45,TX.VAL.MRCH.WL.CD,TX.VAL.MRCH.WL.CD,Merchandise exports by the reporting economy (current US$),Merchandise exports by the reporting economy,current US$,TX.VAL.MRCH.WL.CD,Sum,,Merchandise exports by the reporting economy (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Merchandise exports by the reporting economy are the total merchandise exports by the reporting economy to the rest of the world, as reported in the IMF's Direction of trade database. Data are in current US$.",Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,,,"Merchandise exports by the reporting economy are the total merchandise exports by the reporting economy to the rest of the world, as reported in the IMF's Direction of trade database. Data are in current U.S. dollars.",,,
46,TX.VAL.MRCH.HI.ZS,TX.VAL.MRCH.HI.ZS,Merchandise exports to high-income economies (% of total merchandise exports),Merchandise exports to high-income economies,% of total merchandise exports,TX.VAL.MRCH.HI.ZS,Weighted average,,Merchandise exports to high-income economies (% of total merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,"Low- and middle-income economies are an increasingly important part of the global trading system. Trade between high-income economies and low- and middle-income economies has grown faster than trade between high-income economies. This increased trade benefits both producers and consumers in developing and high-income economies.

At the regional level most exports from low- and middle-income economies are to high-income economies, but the share of intraregional trade is increasing. Geographic patterns of trade vary widely by country and commodity. Larger shares of exports from oil- and resource-rich economies are to high-income economies.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,Merchandise exports to high-income economies are the sum of merchandise exports from the reporting economy to high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,,,
47,TX.VAL.MRCH.R4.ZS,TX.VAL.MRCH.R4.ZS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),Merchandise exports to low- and middle-income economies in Middle East & North Africa,% of total merchandise exports,TX.VAL.MRCH.R4.ZS,Weighted average,,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise exports to low- and middle-income economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,,,Merchandise exports to low- and middle-income economies in Middle East and North Africa are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the Middle East and North Africa region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,,,
48,TX.VAL.MRCH.R5.ZS,TX.VAL.MRCH.R5.ZS,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),Merchandise exports to low- and middle-income economies in South Asia,% of total merchandise exports,TX.VAL.MRCH.R5.ZS,Weighted average,,Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise exports to low- and middle-income economies in South Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,,,,Merchandise exports to low- and middle-income economies in South Asia are the sum of merchandise exports from the reporting economy to low- and middle-income economies in the South Asia region according to World Bank classification of economies. Data are as a percentage of total merchandise exports by the economy.,,,
49,TX.VAL.MRCH.OR.ZS,TX.VAL.MRCH.OR.ZS,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),Merchandise exports to low- and middle-income economies outside region,% of total merchandise exports,TX.VAL.MRCH.OR.ZS,Weighted average,,Merchandise exports to low- and middle-income economies outside region (% of total merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise exports to low- and middle-income economies outside region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Exports,"Although global integration has increased, low- and middle-income economies still face trade barriers when accessing other markets.","Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,Merchandise exports to low- and middle-income economies outside region are the sum of merchandise exports from the reporting economy to other low- and middle-income economies in other World Bank regions according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise exports by the economy.,,,
50,TM.VAL.MRCH.CD.WT,TM.VAL.MRCH.CD.WT,Merchandise imports (current US$),Merchandise imports,current US$,TM.VAL.MRCH.CD.WT,Gap-filled total,,Merchandise imports (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise imports show the c.i.f. value of goods received from the rest of the world valued in current U.S. dollars.,Annual,World Trade Organization.,Private Sector & Trade: Imports,,"The value of imports is generally recorded as the cost of the goods when purchased by the importer plus the cost of transport and insurance to the frontier of the importing country - the cost, insurance, and freight (c.i.f.) value, corresponding to the landed cost at the point of entry of foreign goods into the country. A few countries collect import data on a free on board (f.o.b.) basis and adjust them for freight and insurance costs.

Countries may report trade according to the general or special system of trade. Under the general system imports include goods imported for domestic consumption and imports into bonded warehouses and free trade zones. Under the special system imports comprise goods imported for domestic consumption (including transformation and repair) and withdrawals for domestic consumption from bonded warehouses and free trade zones. Goods transported through a country en route to another are excluded.

Data on imports of goods are derived from the same sources as data on exports. In principle, world exports and imports should be identical. Similarly, exports from an economy should equal the sum of imports by the rest of the world from that economy. But differences in timing and definitions result in discrepancies in reported values at all levels.","Merchandise trade data are from customs reports of goods moving into or out of an economy or from reports of financial transactions related to merchandise trade recorded in the balance of payments. Because of differences in timing and definitions, trade flow estimates from customs reports and balance of payments may differ. Several international agencies process trade data, each correcting unreported or misreported data, leading to other differences.

The data on total imports of goods (merchandise) are from the World Trade Organization (WTO), which obtains data from national statistical offices and the IMF's International Financial Statistics, supplemented by the Comtrade database and publications or databases of regional organizations, specialized agencies, economic groups, and private sources (such as Eurostat, the Food and Agriculture Organization, and country reports of the Economist Intelligence Unit). Country websites and email contact have improved collection of up-to-date statistics, reducing the proportion of estimates. The WTO database now covers most major traders in Africa, Asia, and Latin America, which together with high-income countries account for nearly 95 percent of world trade. Reliability of data for countries in Europe and Central Asia has also improved.",,,,
51,TM.VAL.MRCH.RS.ZS,TM.VAL.MRCH.RS.ZS,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)","Merchandise imports by the reporting economy, residual",% of total merchandise imports,TM.VAL.MRCH.RS.ZS,Weighted average,,"Merchandise imports by the reporting economy, residual (% of total merchandise imports)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Merchandise imports by the reporting economy residuals are the total merchandise imports by the reporting economy from the rest of the world as reported in the IMF's Direction of trade database, less the sum of imports by the reporting economy from high-, low-, and middle-income economies according to the World Bank classification of economies. Includes trade with unspecified partners or with economies not covered by World Bank classification. Data are as a percentage of total merchandise imports by the economy.",Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,,,,,,
52,TM.VAL.MRCH.AL.ZS,TM.VAL.MRCH.AL.ZS,Merchandise imports from economies in the Arab World (% of total merchandise imports),Merchandise imports from economies in the Arab World,% of total merchandise imports,TM.VAL.MRCH.AL.ZS,Weighted average,,Merchandise imports from economies in the Arab World (% of total merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise imports from economies in the Arab World are the sum of merchandise imports by the reporting economy from economies in the Arab World. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,,,,,,,
53,TM.VAL.MRCH.HI.ZS,TM.VAL.MRCH.HI.ZS,Merchandise imports from high-income economies (% of total merchandise imports),Merchandise imports from high-income economies,% of total merchandise imports,TM.VAL.MRCH.HI.ZS,Weighted average,,Merchandise imports from high-income economies (% of total merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy. Data are computed only if at least half of the economies in the partner country group had non-missing data.,Annual,World Bank staff estimates based data from International Monetary Fund's Direction of Trade database.,Private Sector & Trade: Imports,Low- and middle-income economies are an increasingly important part of the global trading system. Trade between high-income economies and low- and middle-income economies has grown faster than trade between high-income economies. This increased trade benefits both producers and consumers in developing and high-income economies.,"Data on exports and imports are from the International Monetary Fund's (IMF) Direction of Trade database and should be broadly consistent with data from other sources, such as the United Nations Statistics Division's Commodity Trade (Comtrade) database. All high-income economies and major low- and middle-income economies report trade data to the IMF on a timely basis, covering about 85 percent of trade for recent years. Trade data for less timely reporters and for countries that do not report are estimated using reports of trading partner countries. Therefore, data on trade between developing and high-income economies should be generally complete. But trade flows between many low- and middle-income economies - particularly those in Sub-Saharan Africa - are not well recorded, and the value of trade among low- and middle-income economies may be understated.",,Merchandise imports from high-income economies are the sum of merchandise imports by the reporting economy from high-income economies according to the World Bank classification of economies. Data are expressed as a percentage of total merchandise imports by the economy.,,,
