,id,id_x,value,title,unit,id_y,Aggregationmethod,Developmentrelevance,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Othernotes,Periodicity,Source,Statisticalconceptandmethodology,Topic,Shortdefinition,Unitofmeasure,Generalcomments,BasePeriod,DataQuality,Derivationmethod,Otherweblinks,Relatedsourcelinks
57,SH.STA.MALN.ZS,SH.STA.MALN.ZS,"Prevalence of underweight, weight for age (% of children under 5)","Prevalence of underweight, weight for age",% of children under 5,SH.STA.MALN.ZS,Linear mixed-effect model estimates,,"Prevalence of underweight, weight for age (% of children under 5)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Survey estimates come with levels of uncertainty due to both sampling error and non-sampling error (e.g., measurement technical error, recording error etc.,). None of the two sources of errors have been fully taken into account for deriving estimates neither at country nor at regional or worldwide levels.",Prevalence of underweight children is the percentage of children under age 5 whose weight for age is more than two standard deviations below the median for the international reference population ages 0-59 months. The data are based on the WHO's 2006 Child Growth Standards.,,Annual,"UNICEF, WHO, World Bank: Joint child Malnutrition Estimates (JME). Aggregation is based on UNICEF, WHO, and the World Bank harmonized dataset (adjusted, comparable data) and methodology.",,Health: Nutrition,,%,"Undernourished children have lower resistance to infection and are more likely to die from common childhood ailments such as diarrheal diseases and respiratory infections. Frequent illness saps the nutritional status of those who survive, locking them into a vicious cycle of recurring sickness and faltering growth (UNICEF). Estimates are from national survey data. Being even mildly underweight increases the risk of death and inhibits cognitive development in children. And it perpetuates the problem across generations, as malnourished women are more likely to have low-birth-weight babies. Stunting, or being below median height for age, is often used as a proxy for multifaceted deprivation and as an indicator of long-term changes in malnutrition.",,"UNICEF, WHO and the World Bank undertake a joint review for each potential primary data source included in the joint database. The group conducts a review when (at minimum) a final report with full methodological details and results are available, as well as (ideally) a data quality assessment flagging potential limitation. When the raw data are available, they are analysed using the Anthro Survey Analyzer software to produce a standard set of results and data quality outputs against which the review is conducted. Comments are documented in a standard review template extracting methodological details (e.g., sampling procedures, description of anthropometrical equipment), data quality outputs (e.g., weight and height distributions, percentage of cases that were flagged as implausible according to the WHO Child Growth Standards) and the malnutrition prevalence estimates from the data source under review generated based on the standard recommended methodology. These estimates are compared against the reported values, as well as against those from other data sources already included in the JME dataset, to assess the plausibility of the trend before including the new point. Reports that are preliminary, or that lack key details on methodology or results, cannot be reviewed and are left pending until full information is available.","Survey estimates are based on standardized methodology using the WHO Child Growth Standards as described in Recommendations for data collection, analysis and reporting on anthropometric indicators in children under 5 years old and WHO Anthro Survey Analyser.","Recommendations for data collection, analysis and reporting on anthropometric indicators in children under 5 years old. Geneva: World Health Organization and the United Nations Children’s Fund (UNICEF), 2019. Licence: CC BY-NC-SA 3.0 IGO. 
https://data.unicef.org/resources/data-collection-analysis-reporting-on-anthropometric-indicators-in-children-under-5/
https://www.who.int/publications/i/item/9789241515559

WHO Anthro Survey Analyzer - https://www.who.int/tools/child-growth-standards/software",
58,SE.PRM.CMPT.ZS,SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)","Primary completion rate, total",% of relevant age group,SE.PRM.CMPT.ZS,Weighted average,"The World Bank and the UNESCO Institute for Statistics jointly developed the primary completion rate indicator. Increasingly used as a core indicator of an education system's performance, it reflects an education system's coverage and the educational attainment of students.","Primary completion rate, total (% of relevant age group)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"Data limitations preclude adjusting for students who drop out during the final year of primary education. Thus this rate is a proxy that should be taken as an upper estimate of the actual primary completion rate.
 
There are many reasons why the primary completion rate can exceed 100 percent. The numerator may include late entrants and overage children who have repeated one or more grades of primary education as well as children who entered school early, while the denominator is the number of children at the entrance age for the last grade of primary education.","Primary completion rate, or gross intake ratio to the last grade of primary education, is the number of new entrants (enrollments minus repeaters) in the last grade of primary education, regardless of age, divided by the population at the entrance age for the last grade of primary education. Data limitations preclude adjusting for students who drop out during the final year of primary education.",,Annual,"UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.","Primary completion rate is calculated by dividing the number of new entrants (enrollment minus repeaters) in the last grade of primary education, regardless of age, by the population at the entrance age for the last grade of primary education and multiplying by 100. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. Population data are drawn from the United Nations Population Division. Using a single source for population data standardizes definitions, estimations, and interpolation methods, ensuring a consistent methodology across countries and minimizing potential enumeration problems in national censuses.

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Education: Outcomes,,,,,,,,
59,EG.ELC.RNEW.ZS,EG.ELC.RNEW.ZS,Renewable electricity output (% of total electricity output),Renewable electricity output,% of total electricity output,EG.ELC.RNEW.ZS,Weighted average,,Renewable electricity output (% of total electricity output),Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,,Renewable electricity is the share of electrity generated by renewable power plants in total electricity generated by all types of plants.,,Annual,"IEA Statistics © OECD/IEA 2018 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Environment: Energy production & use,,,Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,,,
60,EG.FEC.RNEW.ZS,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Renewable energy consumption,% of total final energy consumption,EG.FEC.RNEW.ZS,Weighted average,,Renewable energy consumption (% of total final energy consumption),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Renewable energy consumption is the share of renewables energy in total final energy consumption.,,Annual,"IEA, IRENA, UNSD, World Bank, WHO. 2023. Tracking SDG 7: The Energy Progress Report. World Bank, Washington DC. © World Bank. License: Creative Commons Attribution—NonCommercial 3.0 IGO (CC BY-NC 3.0 IGO).",,Environment: Energy production & use,,,,,,,,
61,AG.LND.EL5M.RU.ZS,AG.LND.EL5M.RU.ZS,Rural land area where elevation is below 5 meters (% of total land area),Rural land area where elevation is below 5 meters,% of total land area,AG.LND.EL5M.RU.ZS,Weighted average,"Scientists use the terms climate change and global warming to refer to the gradual increase in the Earth's surface temperature that has accelerated since the industrial revolution and especially over the past two decades. Most global warming has been caused by human activities that have changed the chemical composition of the atmosphere through a buildup of greenhouse gases - primarily carbon dioxide, methane, and nitrous oxide. Rising global temperatures will cause sea level rise and alter local climate conditions, affecting forests, crop yields, and water supplies, and may affect human health, animals, and many types of ecosystems.",Rural land area where elevation is below 5 meters (% of total land area),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The 2007 Intergovernmental Panel on Climate Change's (IPCC) assessment report concluded that global warming is “unequivocal” and gave the strongest warning yet about the role of human activities. The report estimated that sea levels would rise approximately 49 centimeters over the next 100 years, with a range of uncertainty of 20–86 centimeters. That will lead to increased coastal flooding through direct inundation and a higher base for storm surges, allowing flooding of larger areas and higher elevations. Climate model simulations predict an increase in average surface air temperature of about 2.5°C by 2100 (Kattenberg and others 1996) and increase of “killer” heat waves during the warm season (Karl and others 1997).",Rural land area below 5m is the percentage of total land where the rural land elevation is 5 meters or less.,,Annual,"Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",Elevation data used to generate the low elevation coastal zones come from the SRTM3 Enhanced Global Map developed by ISCIENCES. The ISCIENCES digital elevation model was created using NASA’s Jet Propulsion Laboratory Shuttle Radar Topography Mission data processed to 3 arc-seconds (SRTM3).,Environment: Land use,,,,,,,,
62,AG.LND.EL5M.RU.K2,AG.LND.EL5M.RU.K2,Rural land area where elevation is below 5 meters (sq. km),Rural land area where elevation is below 5 meters,sq. km,AG.LND.EL5M.RU.K2,Sum,,Rural land area where elevation is below 5 meters (sq. km),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The 2007 Intergovernmental Panel on Climate Change's (IPCC) assessment report concluded that global warming is “unequivocal” and gave the strongest warning yet about the role of human activities. The report estimated that sea levels would rise approximately 49 centimeters over the next 100 years, with a range of uncertainty of 20–86 centimeters. That will lead to increased coastal flooding through direct inundation and a higher base for storm surges, allowing flooding of larger areas and higher elevations. Climate model simulations predict an increase in average surface air temperature of about 2.5°C by 2100 (Kattenberg and others 1996) and increase of “killer” heat waves during the warm season (Karl and others 1997).",Rural land area below 5m is the total rural land area in square kilometers where the elevation is 5 meters or less.,,Annual,"Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",Elevation data used to generate the low elevation coastal zones come from the SRTM3 Enhanced Global Map developed by ISCIENCES. The ISCIENCES digital elevation model was created using NASA’s Jet Propulsion Laboratory Shuttle Radar Topography Mission data processed to 3 arc-seconds (SRTM3).,Environment: Land use,,,,,,,,
63,EN.POP.EL5M.RU.ZS,EN.POP.EL5M.RU.ZS,Rural population living in areas where elevation is below 5 meters (% of total population),Rural population living in areas where elevation is below 5 meters,% of total population,EN.POP.EL5M.RU.ZS,Weighted average,,Rural population living in areas where elevation is below 5 meters (% of total population),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Rural population below 5m is the percentage of the total population, living in areas where the elevation is 5 meters or less.",,Annual,"Center for International Earth Science Information Network - CIESIN - Columbia University, and CUNY Institute for Demographic Research - CIDR - City University of New York. 2021. Low Elevation Coastal Zone (LECZ) Urban-Rural Population and Land Area Estimates, Version 3. Palisades, NY: NASA Socioeconomic Data and Applications Center (SEDAC). https://doi.org/10.7927/d1x1-d702.",Population counts in low elevation zones in the year 1990 as described by GRUMPv1 input estimates allocated into 3 arc second grid cells. Population counts in low elevation zones in the year 2000 as described by GRUMPv1 input estimates allocated into 3 arc second grid cells. Population counts in low elevation zones in the year 2010 derived from the application of United Nations 2000-2010 national growth rates to year 2000 population data from GRUMPv1 ( see documentation for full description of methodologies ).,Environment: Land use,,,,,,,,
64,SE.ENR.PRSC.FM.ZS,SE.ENR.PRSC.FM.ZS,"School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, primary and secondary",gross,SE.ENR.PRSC.FM.ZS,Weighted average,The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women.,"School enrollment, primary and secondary (gross), gender parity index (GPI)",CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Gender parity index for gross enrollment ratio in primary and secondary education is the ratio of girls to boys enrolled at primary and secondary levels in public and private schools.,,Annual,"UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.","This indicator is calculated by dividing female gross enrollment ratio in primary and secondary education by male gross enrollment ratio in primary and secondary education. 

Data on education are collected by the UNESCO Institute for Statistics from official responses to its annual education survey. All the data are mapped to the International Standard Classification of Education (ISCED) to ensure the comparability of education programs at the international level. The current version was formally adopted by UNESCO Member States in 2011. 

The reference years reflect the school year for which the data are presented. In some countries the school year spans two calendar years (for example, from September 2010 to June 2011); in these cases the reference year refers to the year in which the school year ended (2011 in the example).",Education: Participation,,,,,,,,
65,EN.ATM.SF6G.KT.CE,EN.ATM.SF6G.KT.CE,SF6 gas emissions (thousand metric tons of CO2 equivalent),SF6 gas emissions,thousand metric tons of CO2 equivalent,EN.ATM.SF6G.KT.CE,Gap-filled total,,SF6 gas emissions (thousand metric tons of CO2 equivalent),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Sulfur hexafluoride is used largely to insulate high-voltage electric power equipment.,,Annual,"European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/",,Environment: Emissions,,,,,,,,
66,ER.PTD.TOTL.ZS,ER.PTD.TOTL.ZS,Terrestrial and marine protected areas (% of total territorial area),Terrestrial and marine protected areas,% of total territorial area,ER.PTD.TOTL.ZS,Weighted average,"The International Union for Conservation of Nature (IUCN) defines a protected area as ""a clearly defined geographical space, recognized, dedicated and managed, through legal or other effective means, to achieve the long-term conservation of nature with associated ecosystem services and cultural values.""

Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use.

Marine protected areas are areas of intertidal or subtidal terrain - and overlying water and associated flora and fauna and historical and cultural features - that have been reserved by law or other effective means to protect part or the entire enclosed environment. Sites protected under local or provincial law are excluded.

As threats to biodiversity mount, the international community is increasingly focusing on conserving diversity. Deforestation is a major cause of loss of biodiversity, and habitat conservation is vital for stemming this loss. Conservation efforts have focused on protecting areas of high biodiversity. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.
 
Protected areas remain the fundamental building blocks of virtually all national and international conservation strategies, supported by governments and international institutions. They provide the core of efforts to protect the world's threatened species and are increasingly recognized as essential providers of ecosystem services and biological resources. Some sites are owned and managed by governments, others by private individuals, companies, communities and faith groups.

The Sustainable Development Goals (SDGs) address concerns common to all economies. In recognition of the vulnerability of animal and plant species, SDGs include targets 14 and 15 to highlight the importance of marine and terrestorial protected areas. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.",Terrestrial and marine protected areas (% of total territorial area),Use and distribution of these data are subject to Protected Planet terms and conditions.,https://www.protectedplanet.net/c/terms-and-conditions,"The data source for this indicator is the World Database on Protected Areas (WDPA), the most comprehensive global dataset on marine and terrestrial protected areas available. 

The extent to which the land areas, including inland waters, and territorial waters of a country/territory are protected is useful for planning purpose to protect biodiversity. However, it is neither an indication of how well managed the terrestrial and marine protected areas are, nor confirmation that protection measures are effectively enforced. Further, the indicator does not provide information on non-designated or internationally designated protected areas that may also be important for conserving biodiversity. There are known data and knowledge gaps for some countries/regions due to difficulties in reporting national protected area data to the WDPA and/or determining whether a site conforms to the IUCN definition of a protected area.

Gaps and/or time lags in reporting national protected area data to the WDPA can however result in discrepancies, which are resolved in communication with data providers. The World Conservation Monitoring Centre (WCMC) compiles data on protected areas, numbers of certain species, and numbers of those species under threat from various sources. Because of differences in definitions, reporting practices, and reporting periods, cross-country comparability is limited.

Due to variations in consistency and methods of collection, data quality is highly variable across countries. Some countries update their information more frequently than others, some have more accurate data on extent of coverage, and many underreport the number or extent of protected areas.","Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use. Marine protected areas are areas of intertidal or subtidal terrain--and overlying water and associated flora and fauna and historical and cultural features--that have been reserved by law or other effective means to protect part or all of the enclosed environment. Sites protected under local or provincial law are excluded.",,Annual,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).","This indicator is calculated using all the nationally designated protected areas recorded in the World Database on Protected Areas (WDPA) whose location and extent is known. The WDPA database is stored within a Geographic Information System (GIS) that stores information about protected areas such as their name, type and date of designation, documented area, geographic location (point) and/or boundary (polygon).

A GIS analysis is used to calculate terrestrial and marine protection. For this a global protected area layer is created by combining the polygons and points recorded in the WDPA. Circular buffers are created around points based on the known extent of protected areas for which no polygon is available. Annual protected area layers are created by dissolving the global protected area layer by the known year of establishment of protected areas recorded in the WDPA. The annual protected area layers are overlaid with country/territory boundaries, coastlines and buffered coastlines (delineating the territorial waters) to obtain the absolute coverage (in square kilometers) of protected areas by country/territory per year from 1990 to present. The total area of a country's/territory's terrestrial protected areas and marine protected areas in territorial waters is divided by the total area of its land areas (including inland waters) and territorial waters to obtain the relative coverage (percentage) of protected areas.",Environment: Biodiversity & protected areas,,Percentage,Restricted use: Please contact the Protected Planet for third-party use of these data.,,,,,
67,ER.LND.PTLD.ZS,ER.LND.PTLD.ZS,Terrestrial protected areas (% of total land area),Terrestrial protected areas,% of total land area,ER.LND.PTLD.ZS,Weighted average,"The International Union for Conservation of Nature (IUCN) defines a protected area as ""a clearly defined geographical space, recognized, dedicated and managed, through legal or other effective means, to achieve the long-term conservation of nature with associated ecosystem services and cultural values.""

Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use. Nationally protected terrestrial are terrestrial areas as a percentage of total territorial area, where all nationally designated protected areas with known location and extent are included.

As threats to biodiversity mount, the international community is increasingly focusing on conserving diversity. Deforestation is a major cause of loss of biodiversity, and habitat conservation is vital for stemming this loss. Conservation efforts have focused on protecting areas of high biodiversity. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.
 
Protected areas remain the fundamental building blocks of virtually all national and international conservation strategies, supported by governments and international institutions. They provide the core of efforts to protect the world's threatened species and are increasingly recognized as essential providers of ecosystem services and biological resources. Some sites are owned and managed by governments, others by private individuals, companies, communities and faith groups.

The Sustainable Development Goals (SDGs) address concerns common to all economies. In recognition of the vulnerability of animal and plant species, SDGs include targets 14 and 15 to highlight the importance of marine and terrestorial protected areas. Increasing the proportion of terrestrial and marine areas protected helps defend vulnerable plant and animal species and safeguard biodiversity.",Terrestrial protected areas (% of total land area),Use and distribution of these data are subject to Protected Planet terms and conditions.,https://www.protectedplanet.net/c/terms-and-conditions,"The data source for this indicator is the World Database on Protected Areas (WDPA), the most comprehensive global dataset on marine and terrestrial protected areas available. 

The extent to which the land areas, including inland waters, and territorial waters of a country/territory are protected is useful for planning purpose to protect biodiversity. However, it is neither an indication of how well managed the terrestrial and marine protected areas are, nor confirmation that protection measures are effectively enforced. Further, the indicator does not provide information on non-designated or internationally designated protected areas that may also be important for conserving biodiversity. There are known data and knowledge gaps for some countries/regions due to difficulties in reporting national protected area data to the WDPA and/or determining whether a site conforms to the IUCN definition of a protected area.

Gaps and/or time lags in reporting national protected area data to the WDPA can however result in discrepancies, which are resolved in communication with data providers. The World Conservation Monitoring Centre (WCMC) compiles data on protected areas, numbers of certain species, and numbers of those species under threat from various sources. Because of differences in definitions, reporting practices, and reporting periods, cross-country comparability is limited.

Due to variations in consistency and methods of collection, data quality is highly variable across countries. Some countries update their information more frequently than others, some have more accurate data on extent of coverage, and many underreport the number or extent of protected areas.","Terrestrial protected areas are totally or partially protected areas of at least 1,000 hectares that are designated by national authorities as scientific reserves with limited public access, national parks, natural monuments, nature reserves or wildlife sanctuaries, protected landscapes, and areas managed mainly for sustainable use. Marine areas, unclassified areas, littoral (intertidal) areas, and sites protected under local or provincial law are excluded.",,Annual,"World Database on Protected Areas (WDPA) where the compilation and management is carried out by United Nations Environment World Conservation Monitoring Centre (UNEP-WCMC) in collaboration with governments, non-governmental organizations, academia and industry. The data is available online through the Protected Planet website (https://www.protectedplanet.net/).","This indicator is calculated using all the nationally designated protected areas recorded in the World Database on Protected Areas (WDPA) whose location and extent is known. The WDPA database is stored within a Geographic Information System (GIS) that stores information about protected areas such as their name, type and date of designation, documented area, geographic location (point) and/or boundary (polygon). 

Designating an area as protected does not mean that protection is in force. And for small countries that have only protected areas smaller than 1,000 hectares, the size limit in the definition leads to an underestimate of protected areas. Nationally protected areas are defined using the six IUCN management categories for areas of at least 1,000 hectares: scientific reserves and strict nature reserves with limited public access; national parks of national or international significance and not materially affected by human activity; natural monuments and natural landscapes with unique aspects; managed nature reserves and wildlife sanctuaries; protected landscapes (which may include cultural landscapes); and areas managed mainly for the sustainable use of natural systems to ensure long-term protection and maintenance of biological diversity. 

A GIS analysis is used to calculate terrestrial and marine protection. For this a global protected area layer is created by combining the polygons and points recorded in the WDPA. Circular buffers are created around points based on the known extent of protected areas for which no polygon is available. Annual protected area layers are created by dissolving the global protected area layer by the known year of establishment of protected areas recorded in the WDPA. The annual protected area layers are overlaid with country/territory boundaries, coastlines and buffered coastlines (delineating the territorial waters) to obtain the absolute coverage (in square kilometers) of protected areas by country/territory. The total area of a country's/territory's terrestrial protected areas and marine protected areas in territorial waters is divided by the total area of its land areas (including inland waters) and territorial waters to obtain the relative coverage (percentage) of protected areas.",Environment: Biodiversity & protected areas,,Percentage,Restricted use: Please contact the Protected Planet for third-party use of these data.,,,,,
68,EN.ATM.GHGT.ZG,EN.ATM.GHGT.ZG,Total greenhouse gas emissions (% change from 1990),Total greenhouse gas emissions,% change from 1990,EN.ATM.GHGT.ZG,Weighted average,"The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production. Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), Sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",Total greenhouse gas emissions (% change from 1990),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"National reporting to the United Nations Framework Convention on Climate Change that follows the Intergovernmental Panel on Climate Change guidelines is based on national emission inventories and covers all sources of anthropogenic carbon dioxide emissions as well as carbon sinks (such as forests). To estimate emissions, the countries that are Parties to the Climate Change Convention (UNFCCC) use complex, state-of-the-art methodologies recommended by the Intergovernmental Panel on Climate Change (IPCC).","Total greenhouse gas emissions are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and savanna burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6). Each year of data shows the percentage change to that year from 1990.",,Annual,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.","The GHG totals are expressed in CO2 equivalent using the GWP100 metric of the Second Assessment Report of IPCC and include CO2 (GWP100=1), CH4 (GWP100=21), N2O (GWP100=310) and F-gases (c-C4F8 GWP=8700, C2F6 GWP=9200, C3F8 GWP=7000, C4F10 GWP=7000, C5F12 GWP=7500, C6F14 GWP=7400, C7F16 GWP=7820, CF4 GWP=6500, HFC-125 GWP=2800, HFC-134a GWP=1300, HFC-143a GWP=3800, HFC-152a GWP=140, HFC-227ea GWP=2900, HFC-23 GWP=11700, HFC-236fa GWP=6300, HFC-245fa GWP=858, HFC-32 GWP=650, HFC-365mfc GWP=804, HFC-43-10-mee GWP=1300, SF6 GWP=23900).",Environment: Emissions,,,,,,,,
69,EN.ATM.GHGT.KT.CE,EN.ATM.GHGT.KT.CE,Total greenhouse gas emissions (kt of CO2 equivalent),Total greenhouse gas emissions,kt of CO2 equivalent,EN.ATM.GHGT.KT.CE,Sum,"The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production. Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), Sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",Total greenhouse gas emissions (kt of CO2 equivalent),Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://creativecommons.org/licenses/by-nc/4.0/,"This series excludes Land-use Change & Forestry (LUCF). 

The world data includes international bunker fuel-related emissions and emissions from territories not part of the United Nations Framework Convention on Climate Change (UNFCCC).","Total greenhouse gas emissions in kt of CO2 equivalent are composed of CO2 totals excluding short-cycle biomass burning (such as agricultural waste burning and savanna burning) but including other biomass burning (such as forest fires, post-burn decay, peat fires and decay of drained peatlands), all anthropogenic CH4 sources, N2O sources and F-gases (HFCs, PFCs and SF6).",,Annual,"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org/ghg-emissions","The GHG totals are expressed in CO2 equivalent using the GWP100 metric of the Second Assessment Report of IPCC and include CO2 (GWP100=1), CH4 (GWP100=21), N2O (GWP100=310) and F-gases (c-C4F8 GWP=8700, C2F6 GWP=9200, C3F8 GWP=7000, C4F10 GWP=7000, C5F12 GWP=7500, C6F14 GWP=7400, C7F16 GWP=7820, CF4 GWP=6500, HFC-125 GWP=2800, HFC-134a GWP=1300, HFC-143a GWP=3800, HFC-152a GWP=140, HFC-227ea GWP=2900, HFC-23 GWP=11700, HFC-236fa GWP=6300, HFC-245fa GWP=858, HFC-32 GWP=650, HFC-365mfc GWP=804, HFC-43-10-mee GWP=1300, SF6 GWP=23900).",Environment: Emissions,,,,,,,,
