,id,id_x,value,title,unit,id_y,Aggregationmethod,IndicatorName,License_Type,License_URL,Limitationsandexceptions,Longdefinition,Periodicity,Source,Statisticalconceptandmethodology,Topic,Developmentrelevance,Generalcomments,BasePeriod,Notesfromoriginalsource,Shortdefinition
24,EN.ATM.METH.EG.ZS,EN.ATM.METH.EG.ZS,Energy related methane emissions (% of total),Energy related methane emissions,% of total,EN.ATM.METH.EG.ZS,Weighted average,Energy related methane emissions (% of total),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"National reporting to the United Nations Framework Convention on Climate Change that follows the Intergovernmental Panel on Climate Change guidelines is based on national emission inventories and covers all sources of anthropogenic carbon dioxide emissions as well as carbon sinks (such as forests). To estimate emissions, the countries that are Parties to the Climate Change Convention (UNFCCC) use complex, state-of-the-art methodologies recommended by the Intergovernmental Panel on Climate Change (IPCC).","Methane emissions from energy processes are emissions from the production, handling, transmission, and combustion of fossil fuels and biofuels.",Annual,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.","IPCC category 1 = Energy. Methane emissions result largely from agricultural activities, industrial production landfills and wastewater treatment, and other sources such as tropical forest and other vegetation fires. The emissions are usually expressed in carbon dioxide equivalents using the global warming potential, which allows the effective contributions of different gases to be compared. A kilogram of methane is 21 times as effective at trapping heat in the earth's atmosphere as a kilogram of carbon dioxide within 100 years. The emissions are usually expressed in carbon dioxide equivalents using the global warming potential, which allows the effective contributions of different gases to be compared.",Environment: Emissions,"The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production. Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), Sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",,,,
25,EG.USE.PCAP.KG.OE,EG.USE.PCAP.KG.OE,Energy use (kg of oil equivalent per capita),Energy use,kg of oil equivalent per capita,EG.USE.PCAP.KG.OE,Weighted average,Energy use (kg of oil equivalent per capita),Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,"The IEA makes these estimates in consultation with national statistical offices, oil companies, electric utilities, and national energy experts. The IEA occasionally revises its time series to reflect political changes, and energy statistics undergo continual changes in coverage or methodology as more detailed energy accounts become available. Breaks in series are therefore unavoidable.","Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport.",Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/","Total energy use refers to the use of primary energy before transformation to other end-use fuels (such as electricity and refined petroleum products). It includes energy from combustible renewables and waste - solid biomass and animal products, gas and liquid from biomass, and industrial and municipal waste. Biomass is any plant matter used directly as fuel or converted into fuel, heat, or electricity. World Bank population estimates are used to calculate per capita data.

Energy data are compiled by the International Energy Agency (IEA). IEA data for economies that are not members of the Organisation for Economic Co-operation and Development (OECD) are based on national energy data adjusted to conform to annual questionnaires completed by OECD member governments.

Data for combustible renewables and waste are often based on small surveys or other incomplete information and thus give only a broad impression of developments and are not strictly comparable across countries. The IEA reports include country notes that explain some of these differences. All forms of energy - primary energy and primary electricity - are converted into oil equivalents. A notional thermal efficiency of 33 percent is assumed for converting nuclear electricity into oil equivalents and 100 percent efficiency for converting hydroelectric power.",Environment: Energy production & use,"In developing economies growth in energy use is closely related to growth in the modern sectors - industry, motorized transport, and urban areas - but energy use also reflects climatic, geographic, and economic factors (such as the relative price of energy). Energy use has been growing rapidly in low- and middle-income economies, but high-income economies still use almost five times as much energy on a per capita basis.

Governments in many countries are increasingly aware of the urgent need to make better use of the world's energy resources. Improved energy efficiency is often the most economic and readily available means of improving energy security and reducing greenhouse gas emissions.",Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,
26,EG.USE.COMM.GD.PP.KD,EG.USE.COMM.GD.PP.KD,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Energy use,kg of oil equivalent,EG.USE.COMM.GD.PP.KD,Weighted average,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2017 PPP)",Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,,"Energy use per PPP GDP is the kilogram of oil equivalent of energy use per constant PPP GDP. Energy use refers to use of primary energy before transformation to other end-use fuels, which is equal to indigenous production plus imports and stock changes, minus exports and fuels supplied to ships and aircraft engaged in international transport. PPP GDP is gross domestic product converted to 2017 constant international dollars using purchasing power parity rates. An international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States.",Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Environment: Energy production & use,,Restricted use: Please contact the International Energy Agency for third-party use of these data.,2017,,
27,IC.FRM.BNKS.ZS,IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms),Firms using banks to finance investment,% of firms,IC.FRM.BNKS.ZS,Unweighted average,Firms using banks to finance investment (% of firms),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The sampling methodology for Enterprise Surveys is stratified random sampling. In a simple random sample, all members of the population have the same probability of being selected and no weighting of the observations is necessary. In a stratified random sample, all population units are grouped within homogeneous groups and simple random samples are selected within each group. This method allows computing estimates for each of the strata with a specified level of precision while population estimates can also be estimated by properly weighting individual observations. The sampling weights take care of the varying probabilities of selection across different strata. Under certain conditions, estimates' precision under stratified random sampling will be higher than under simple random sampling (lower standard errors may result from the estimation procedure).

The strata for Enterprise Surveys are firm size, business sector, and geographic region within a country. Firm size levels are 5-19 (small), 20-99 (medium), and 100+ employees (large-sized firms). Since in most economies, the majority of firms are small and medium-sized, Enterprise Surveys oversample large firms since larger firms tend to be engines of job creation. Sector breakdown is usually manufacturing, retail, and other services. For larger economies, specific manufacturing sub-sectors are selected as additional strata on the basis of employment, value-added, and total number of establishments figures. Geographic regions within a country are selected based on which cities/regions collectively contain the majority of economic activity.

Ideally the survey sample frame is derived from the universe of eligible firms obtained from the country’s statistical office. Sometimes the master list of firms is obtained from other government agencies such as tax or business licensing authorities. In some cases, the list of firms is obtained from business associations or marketing databases. In a few cases, the sample frame is created via block enumeration, where the World Bank “manually” constructs a list of eligible firms after 1) partitioning a country’s cities of major economic activity into clusters and blocks, 2) randomly selecting a subset of blocks which will then be enumerated. In surveys conducted since 2005-06, survey documentation which explains the source of the sample frame and any special circumstances encountered during survey fieldwork are included with the collected datasets.

Obtaining panel data, i.e. interviews with the same firms across multiple years, is a priority in current Enterprise Surveys. When conducting a new Enterprise Survey in a country where data was previously collected, maximal effort is expended to re-interview as many firms (from the prior survey) as possible. For these panel firms, sampling weights can be adjusted to take into account the resulting altered probabilities of inclusion in the sample frame.",Firms using banks to finance investment are the percentage of firms using banks to finance investments.,Annual,"World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).","Firm-level surveys have been conducted since the 1990's by different units within the World Bank. Since 2005-06, most data collection efforts have been centralized within the Enterprise Analysis Unit. Surveys implemented by the Enterprise Analysis Unit follow the Global Methodology.

Private contractors conduct the Enterprise Surveys on behalf of the World Bank. Due to sensitive survey questions addressing business-government relations and bribery-related topics, private contractors, rather than any government agency or an organization/institution associated with government, are hired by the World Bank to collect the data.

Confidentiality of the survey respondents and the sensitive information they provide is necessary to ensure the greatest degree of survey participation, integrity and confidence in the quality of the data. Surveys are usually carried out in cooperation with business organizations and government agencies promoting job creation and economic growth, but confidentiality is never compromised.

The Enterprise Survey is answered by business owners and top managers. Sometimes the survey respondent calls company accountants and human resource managers into the interview to answer questions in the sales and labor sections of the survey. Typically 1200-1800 interviews are conducted in larger economies, 360 interviews are conducted in medium-sized economies, and for smaller economies, 150 interviews take place.

The manufacturing and services sectors are the primary business sectors of interest. This corresponds to firms classified with ISIC codes 15-37, 45, 50-52, 55, 60-64, and 72 (ISIC Rev.3.1). Formal (registered) companies with 5 or more employees are targeted for interview. Services firms include construction, retail, wholesale, hotels, restaurants, transport, storage, communications, and IT. Firms with 100% government/state ownership are not eligible to participate in an Enterprise Survey. Occasionally, for a few surveyed countries, other sectors are included in the companies surveyed such as education or health-related businesses. In each country, businesses in the cities/regions of major economic activity are interviewed.

In some countries, other surveys, which depart from the usual Enterprise Survey methodology, are conducted. Examples include 1) Informal Surveys- surveys of informal (unregistered) enterprises, 2) Micro Surveys- surveys fielded to registered firms with less than five employees, and 3) Financial Crisis Assessment Surveys- short surveys administered by telephone to assess the effects of the global financial crisis of 2008-09.

The Enterprise Surveys Unit uses two instruments: the Manufacturing Questionnaire and the Services Questionnaire. Although many questions overlap, some are only applicable to one type of business. For example, retail firms are not asked about production and nonproduction workers.

The standard Enterprise Survey topics include firm characteristics, gender participation, access to finance, annual sales, costs of inputs/labor, workforce composition, bribery, licensing, infrastructure, trade, crime, competition, capacity utilization, land and permits, taxation, informality, business-government relations, innovation and technology, and performance measures.

Over 90% of the questions objectively ascertain characteristics of a country’s business environment. The remaining questions assess the survey respondents’ opinions on what are the obstacles to firm growth and performance. The mode of data collection is face-to-face interviews.",Private Sector & Trade: Business environment,"Firms evaluating investment options, governments interested in improving business conditions, and economists seeking to explain economic performance have all grappled with defining and measuring the business environment. The firm-level data from Enterprise Surveys provide a useful tool for benchmarking economies across a large number of indicators measured at the firm level.

Financial markets connect firms to lenders and investors, allowing firms to grow their businesses: creditworthy firms can obtain credit from financial intermediaries at competitive prices. But too often market imperfections and government-induced distortions limit access to credit and thus restrain growth.

Excessive reliance on internal funds is a sign of potentially inefficient financial intermediation.",,,All surveys were administered using the Enterprise Surveys methodology as outlined in the Methodology page which can be found from www.enterprisesurveys.org.,
28,EG.USE.COMM.FO.ZS,EG.USE.COMM.FO.ZS,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption,% of total,EG.USE.COMM.FO.ZS,Weighted average,Fossil fuel energy consumption (% of total),Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,"The IEA makes these estimates in consultation with national statistical offices, oil companies, electric utilities, and national energy experts. The IEA occasionally revises its time series to reflect political changes, and energy statistics undergo continual changes in coverage or methodology as more detailed energy accounts become available. Breaks in series are therefore unavoidable.","Fossil fuel comprises coal, oil, petroleum, and natural gas products.",Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/","Energy data are compiled by the International Energy Agency (IEA). IEA data for economies that are not members of the Organisation for Economic Co-operation and Development (OECD) are based on national energy data adjusted to conform to annual questionnaires completed by OECD member governments.

Data for combustible renewables and waste are often based on small surveys or other incomplete information and thus give only a broad impression of developments and are not strictly comparable across countries. The IEA reports include country notes that explain some of these differences. All forms of energy - primary energy and primary electricity - are converted into oil equivalents. A notional thermal efficiency of 33 percent is assumed for converting nuclear electricity into oil equivalents and 100 percent efficiency for converting hydroelectric power.",Environment: Energy production & use,"Fossil fuels are non-renewable resources because they take millions of years to form, and reserves are being depleted much faster than new ones are being made. In developing economies growth in energy use is closely related to growth in the modern sectors - industry, motorized transport, and urban areas - but energy use also reflects climatic, geographic, and economic factors (such as the relative price of energy). Energy use has been growing rapidly in low- and middle-income economies, but high-income economies still use almost five times as much energy on a per capita basis.

Total energy use refers to the use of primary energy before transformation to other end-use fuels (such as electricity and refined petroleum products). It includes energy from combustible renewables and waste - solid biomass and animal products, gas and liquid from biomass, and industrial and municipal waste. Biomass is any plant matter used directly as fuel or converted into fuel, heat, or electricity.",Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,
29,TX.VAL.FUEL.ZS.UN,TX.VAL.FUEL.ZS.UN,Fuel exports (% of merchandise exports),Fuel exports,% of merchandise exports,TX.VAL.FUEL.ZS.UN,Weighted average,Fuel exports (% of merchandise exports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,"Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,Private Sector & Trade: Exports,,Merchandise export shares may not sum to 100 percent because of unclassified trade.,,,
30,TM.VAL.FUEL.ZS.UN,TM.VAL.FUEL.ZS.UN,Fuel imports (% of merchandise imports),Fuel imports,% of merchandise imports,TM.VAL.FUEL.ZS.UN,Weighted average,Fuel imports (% of merchandise imports),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Previous editions contained data based on the SITC revision 1. Data for earlier years in previous editions may differ because of the change in methodology. Concordance tables are available to convert data reported in one system to another.,"Fuels comprise the commodities in SITC section 3 (mineral fuels, lubricants and related materials).",Annual,World Bank staff estimates through the WITS platform from the Comtrade database maintained by the United Nations Statistics Division.,The classification of commodity groups is based on the Standard International Trade Classification (SITC) revision 3.,Private Sector & Trade: Imports,,Merchandise import shares may not sum to 100 percent because of unclassified trade.,,,
31,EG.GDP.PUSE.KO.PP.KD,EG.GDP.PUSE.KO.PP.KD,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),GDP per unit of energy use,constant 2017 PPP $ per kg of oil equivalent,EG.GDP.PUSE.KO.PP.KD,Weighted average,GDP per unit of energy use (constant 2017 PPP $ per kg of oil equivalent),Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,"The IEA makes these estimates in consultation with national statistical offices, oil companies, electric utilities, and national energy experts. The IEA occasionally revises its time series to reflect political changes, and energy statistics undergo continual changes in coverage or methodology as more detailed energy accounts become available. Breaks in series are therefore unavoidable.",GDP per unit of energy use is the PPP GDP per kilogram of oil equivalent of energy use. PPP GDP is gross domestic product converted to 2017 constant international dollars using purchasing power parity rates. An international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States.,Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/","The ratio of gross domestic product (GDP) to energy use indicates energy efficiency. To produce comparable and consistent estimates of real GDP across economies relative to physical inputs to GDP - that is, units of energy use - GDP is converted to 2017 international dollars using purchasing power parity (PPP) rates. Differences in this ratio over time and across economies reflect structural changes in an economy, changes in sectoral energy efficiency, and differences in fuel mixes. Total energy use refers to the use of primary energy before transformation to other end-use fuels (such as electricity and refined petroleum products). It includes energy from combustible renewables and waste - solid biomass and animal products, gas and liquid from biomass, and industrial and municipal waste. Biomass is any plant matter used directly as fuel or converted into fuel, heat, or electricity. Energy data are compiled by the International Energy Agency (IEA). IEA data for economies that are not members of the Organisation for Economic Co-operation and Development (OECD) are based on national energy data adjusted to conform to annual questionnaires completed by OECD member governments. GDP data are from World Bank's national accounts files.",Environment: Energy production & use,"In developing economies growth in energy use is closely related to growth in the modern sectors - industry, motorized transport, and urban areas - but energy use also reflects climatic, geographic, and economic factors (such as the relative price of energy). Energy use has been growing rapidly in low- and middle-income economies, but high-income economies still use almost five times as much energy on a per capita basis.

Fossil fuels are non-renewable resources because they take millions of years to form, and reserves are being depleted much faster than new ones are being made. In developing economies growth in energy use is closely related to growth in the modern sectors - industry, motorized transport, and urban areas - but energy use also reflects climatic, geographic, and economic factors (such as the relative price of energy). Energy use has been growing rapidly in low- and middle-income economies, but high-income economies still use almost five times as much energy on a per capita basis.",Restricted use: Please contact the International Energy Agency for third-party use of these data.,2017,,
32,EG.GDP.PUSE.KO.PP,EG.GDP.PUSE.KO.PP,GDP per unit of energy use (PPP $ per kg of oil equivalent),GDP per unit of energy use,PPP $ per kg of oil equivalent,EG.GDP.PUSE.KO.PP,Weighted average,GDP per unit of energy use (PPP $ per kg of oil equivalent),Use and distribution of these data are subject to IEA terms and conditions.,http://www.iea.org/t&c/termsandconditions,,GDP per unit of energy use is the PPP GDP per kilogram of oil equivalent of energy use. PPP GDP is gross domestic product converted to current international dollars using purchasing power parity rates based on the 2017 ICP round. An international dollar has the same purchasing power over GDP as a U.S. dollar has in the United States.,Annual,"IEA Statistics © OECD/IEA 2014 (http://www.iea.org/stats/index.asp), subject to https://www.iea.org/t&c/termsandconditions/",,Environment: Energy production & use,,Restricted use: Please contact the International Energy Agency for third-party use of these data.,,,
33,IE.PPI.ENGY.CD,IE.PPI.ENGY.CD,Investment in energy with private participation (current US$),Investment in energy with private participation,current US$,IE.PPI.ENGY.CD,Sum,Investment in energy with private participation (current US$),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"The data on investment in infrastructure projects with private participation refer to all investment (public and private) in projects in which a private company assumes operating risk during the operating period or development and operating risk during the contract period. Investment refers to commitments not disbursements. Foreign state-owned companies are considered private entities for the purposes of this measure.

Investment commitments are the sum of investments in physical assets and payments to the government. Investments in physical assets are resources the project company commits to invest during the contract period in new facilities or in expansion and modernization of existing facilities. Payments to the government are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or use of specific radio spectrums. Data on the projects are compiled from publicly available information. The database aims to be as comprehensive as possible, but some projects - particularly those involving local and small-scale operators - may be omitted because they are not publicly reported.","Investment in energy projects with private participation  refers to commitments to  infrastructure projects in energy (electricity and natural gas: generation, transmission and distribution) that have reached financial closure and directly or indirectly serve the public. Movable assets and small projects such as windmills are excluded. The types of projects included are management and lease contracts, operations and management contracts with major capital expenditure, greenfield projects (in which a private entity or a public-private joint venture builds and operates a new facility), and divestitures. Investment commitments are the sum of investments in facilities and investments in government assets. Investments in facilities are the resources the project company commits to invest during the contract period either in new facilities or in expansion and modernization of existing facilities. Investments in government assets are the resources the project company spends on acquiring government assets such as state-owned enterprises, rights to provide services in a specific area, or the use of specific radio spectrums. Data is presented based on investment year. Data are in current U.S. dollars.",Annual,"World Bank, Private Participation in Infrastructure Project Database (http://ppi.worldbank.org).","The data are from the World Bank's Private Participation in Infrastructure (PPI) Project database, which tracks infrastructure projects with private participation in developing countries. It provides information on more than 5,000 infrastructure projects in 139 developing economies from 1984. The database contains more than 30 fields per project record, including country, financial closure year, infrastructure services provided, type of private participation, investment, technology, capacity, project location, contract duration, private sponsors, bidding process, and development bank support.

The database is a joint product of the World Bank's Finance, Economics, and Urban Development Department and the Public-Private Infrastructure Advisory Facility. Geographic and income aggregates are calculated by the World Bank's Development Data Group.

Data are in current U.S. dollars.",Private Sector & Trade: Private infrastructure investment,"Investment in infrastructure projects with private participation has made important contributions to easing fiscal constraints, improving the efficiency of infrastructure services, and extending delivery to poor people. Developing countries have been in the forefront, pioneering better approaches to infrastructure services and reaping the benefits of greater competition and customer focus. Entrepreneurship is essential to the dynamism of the modern market economy, and a greater entry density of new businesses can foster competition and economic growth.

Private sector development and investment - tapping private sector initiative and investment for socially useful purposes - are critical for poverty reduction. In parallel with public sector efforts, private investment, especially in competitive markets, has tremendous potential to contribute to growth. Private markets are the engine of productivity growth, creating productive jobs and higher incomes. And with government playing a complementary role of regulation, funding, and service provision, private initiative and investment can help provide the basic services and conditions that empower poor people - by improving health, education, and infrastructure.",,,,"Investment in energy with private participation is the value of commitments to energy projects that have reached financial closure and directly or indirectly serve the public, including lease and management contracts, operation and management contracts with major capital expenditure, greenfield projects (in which a private entity or public-private joint venture builds and operates a new facility), and divestitures. Movable assets and small projects such as windmills are excluded."
34,EN.ATM.METH.EG.KT.CE,EN.ATM.METH.EG.KT.CE,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Methane emissions in energy sector,thousand metric tons of CO2 equivalent,EN.ATM.METH.EG.KT.CE,Sum,Methane emissions in energy sector (thousand metric tons of CO2 equivalent),Attribution-NonCommercial 4.0 International (CC BY-NC 4.0),https://creativecommons.org/licenses/by-nc/4.0/,"This series excludes Land-use Change & Forestry (LUCF). 

The world data includes international bunker fuel-related emissions and emissions from territories not part of the United Nations Framework Convention on Climate Change (UNFCCC).","Methane emissions from energy processes are emissions from the production, handling, transmission, and combustion of fossil fuels and biofuels.",Annual,"Climate Watch Historical GHG Emissions (1990-2020). 2023. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org/ghg-emissions","IPCC category 1 = Energy. Expressed in CO2 equivalent using the GWP100 metric of the Second Assessment Report of IPCC and include CH4 (GWP100=21). Methane emissions are those stemming from human activities such as agriculture and from industrial methane production. The emissions are usually expressed in carbon dioxide equivalents using the global warming potential, which allows the effective contributions of different gases to be compared. A kilogram of methane is 21 times as effective at trapping heat in the earth's atmosphere as a kilogram of carbon dioxide within 100 years. The unit of measurement is kt (kiloton) of carbon dioxide equivalent.",Environment: Emissions,"The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production. Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), Sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",,,,
35,NY.GDP.MINR.RT.ZS,NY.GDP.MINR.RT.ZS,Mineral rents (% of GDP),Mineral rents,% of GDP,NY.GDP.MINR.RT.ZS,Weighted average,Mineral rents (% of GDP),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,"Mineral rents are the difference between the value of production for a stock of minerals at world prices and their total costs of production. Minerals included in the calculation are tin, gold, lead, zinc, iron, copper, nickel, silver, bauxite, and phosphate.",Annual,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,The estimates of natural resources rents are calculated as the difference between the price of a commodity and the average cost of producing it. This is done by estimating the price of units of specific commodities and subtracting estimates of average unit costs of extraction or harvesting costs. These unit rents are then multiplied by the physical quantities countries extract or harvest to determine the rents for each commodity as a share of gross domestic product (GDP).,Environment: Natural resources contribution to GDP,"Accounting for the contribution of natural resources to economic output is important in building an analytical framework for sustainable development. In some countries earnings from natural resources, especially from fossil fuels and minerals, account for a sizable share of GDP, and much of these earnings come in the form of economic rents - revenues above the cost of extracting the resources.

Natural resources give rise to economic rents because they are not produced. For produced goods and services competitive forces expand supply until economic profits are driven to zero, but natural resources in fixed supply often command returns well in excess of their cost of production. Rents from nonrenewable resources - fossil fuels and minerals - as well as rents from overharvesting of forests indicate the liquidation of a country's capital stock. When countries use such rents to support current consumption rather than to invest in new capital to replace what is being used up, they are, in effect, borrowing against their future.",,,,
36,NY.GDP.NGAS.RT.ZS,NY.GDP.NGAS.RT.ZS,Natural gas rents (% of GDP),Natural gas rents,% of GDP,NY.GDP.NGAS.RT.ZS,Weighted average,Natural gas rents (% of GDP),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,,Natural gas rents are the difference between the value of natural gas production at regional prices and total costs of production.,Annual,World Bank staff estimates based on sources and methods described in the World Bank's The Changing Wealth of Nations.,The estimates of natural resources rents are calculated as the difference between the price of a commodity and the average cost of producing it. This is done by estimating the price of units of specific commodities and subtracting estimates of average unit costs of extraction or harvesting costs. These unit rents are then multiplied by the physical quantities countries extract or harvest to determine the rents for each commodity as a share of gross domestic product (GDP).,Environment: Natural resources contribution to GDP,"Accounting for the contribution of natural resources to economic output is important in building an analytical framework for sustainable development. In some countries earnings from natural resources, especially from fossil fuels and minerals, account for a sizable share of GDP, and much of these earnings come in the form of economic rents - revenues above the cost of extracting the resources.

Natural resources give rise to economic rents because they are not produced. For produced goods and services competitive forces expand supply until economic profits are driven to zero, but natural resources in fixed supply often command returns well in excess of their cost of production. Rents from nonrenewable resources - fossil fuels and minerals - as well as rents from overharvesting of forests indicate the liquidation of a country's capital stock. When countries use such rents to support current consumption rather than to invest in new capital to replace what is being used up, they are, in effect, borrowing against their future.",,,,
37,EN.ATM.NOXE.EG.ZS,EN.ATM.NOXE.EG.ZS,Nitrous oxide emissions in energy sector (% of total),Nitrous oxide emissions in energy sector,% of total,EN.ATM.NOXE.EG.ZS,Weighted average,Nitrous oxide emissions in energy sector (% of total),CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"National reporting to the United Nations Framework Convention on Climate Change that follows the Intergovernmental Panel on Climate Change guidelines is based on national emission inventories and covers all sources of anthropogenic carbon dioxide emissions as well as carbon sinks (such as forests). To estimate emissions, the countries that are Parties to the Climate Change Convention (UNFCCC) use complex, state-of-the-art methodologies recommended by the Intergovernmental Panel on Climate Change (IPCC).",Nitrous oxide emissions from energy processes are emissions produced by the combustion of fossil fuels and biofuels.,Annual,"World Bank staff estimates from original source: European Commission, Joint Research Centre (JRC)/Netherlands Environmental Assessment Agency (PBL). Emission Database for Global Atmospheric Research (EDGAR): http://edgar.jrc.ec.europa.eu/.","Nitrous oxide emissions are mainly from fossil fuel combustion, fertilizers, rainforest fires, and animal waste. Nitrous oxide is a powerful greenhouse gas, with an estimated atmospheric lifetime of 114 years, compared with 12 years for methane. The per kilogram global warming potential of nitrous oxide is nearly 310 times that of carbon dioxide within 100 years. The emissions are usually expressed in carbon dioxide equivalents using the global warming potential, which allows the effective contributions of different gases to be compared.",Environment: Emissions,"The addition of man-made greenhouse gases to the Atmosphere disturbs the earth's radiative balance. This is leading to an increase in the earth's surface temperature and to related effects on climate, sea level rise and world agriculture. Emissions of CO2 are from burning oil, coal and gas for energy use, burning wood and waste materials, and from industrial processes such as cement production. Emission intensity is the average emission rate of a given pollutant from a given source relative to the intensity of a specific activity. Emission intensities are also used to compare the environmental impact of different fuels or activities. The related terms - emission factor and carbon intensity - are often used interchangeably.

The carbon dioxide emissions of a country are only an indicator of one greenhouse gas. For a more complete idea of how a country influences climate change, gases such as methane and nitrous oxide should be taken into account. This is particularly important in agricultural economies.

The environmental effects of carbon dioxide are of significant interest. Carbon dioxide (CO2) makes up the largest share of the greenhouse gases contributing to global warming and climate change. Converting all other greenhouse gases (methane (CH4), nitrous oxide (N2O), hydrofluorocarbons (HFCs), perfluorocarbons (PFCs), Sulphur hexafluoride (SF6)) to carbon dioxide (or CO2) equivalents makes it possible to compare them and to determine their individual and total contributions to global warming. The Kyoto Protocol, an environmental agreement adopted in 1997 by many of the parties to the United Nations Framework Convention on Climate Change (UNFCCC), is working towards curbing CO2 emissions globally.",,,,
