column,description,source,title,units,notes
share_global_luc_co2,"Annual production-based emissions of carbon dioxide (CO₂) from land-use change, measured as a percentage of global production-based emissions of CO₂ from land-use change in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions has been calculated by Our World in Data using global CO₂ emissions provided in the Global Carbon Budget dataset.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from land-use change, measured as a percentage of global production-based emissions of CO₂ from land-use change in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_oil_co2,"Annual production-based emissions of carbon dioxide (CO₂) from oil, measured as a percentage of global production-based emissions of CO₂ from oil in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from oil has been calculated by Our World in Data using global CO₂ emissions from oil provided in the Global Carbon Budget dataset. Global oil emissions include all country emissions as well as emissions from international aviation and shipping.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from oil, measured as a percentage of global production-based emissions of CO₂ from oil in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_global_other_co2,"Annual production-based emissions of carbon dioxide (CO₂) from other industry sources, measured as a percentage of global production-based emissions of CO₂ from other industry sources in the same year. This is based on territorial emissions, which do not account for emissions embedded in traded goods. Each country's share of global CO₂ emissions from other industry sources has been calculated by Our World in Data using global CO₂ emissions from other industry sources provided in the Global Carbon Budget dataset. Global emissions form other industry sources include all country emissions.",Global Carbon Budget (2022),"Annual production-based emissions of carbon dioxide (CO₂) from other industry sources, measured as a percentage of global production-based emissions of CO₂ from other industry sources in the same year (percent)",percent,"This is based on territorial emissions, which do not account for emissions embedded in traded goods"
share_of_temperature_change_from_ghg,"Share of contribution to global warming (as a percentage). This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of carbon dioxide, methane and nitrous oxide. The warming effects of each gas are calculated based on cumulative CO2-equivalent emissions using the Global Warming Potential (GWP*) approach.
",Our World in Data based on Jones et al. (2023),Share of contribution to global warming (as a percentage) (percent),percent,"This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of carbon dioxide, methane and nitrous oxide"
temperature_change_from_ch4,"Change in global mean surface temperature (in °C) caused by methane emissions. This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of methane. The warming effects of each gas are calculated based on cumulative CO2-equivalent emissions using the Global Warming Potential (GWP*) approach.
",Our World in Data based on Jones et al. (2023),Change in global mean surface temperature (in °C) caused by methane emissions,,This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of methane
temperature_change_from_co2,"Change in global mean surface temperature (in °C) caused by CO2 emissions. This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of carbon dioxide. The warming effects of each gas are calculated based on cumulative CO2-equivalent emissions using the Global Warming Potential (GWP*) approach.
",Our World in Data based on Jones et al. (2023),Change in global mean surface temperature (in °C) caused by CO2 emissions,,This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of carbon dioxide
temperature_change_from_ghg,"Change in global mean surface temperature (in °C) caused by greenhouse gas emissions. This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of carbon dioxide, methane and nitrous oxide. The warming effects of each gas are calculated based on cumulative CO2-equivalent emissions using the Global Warming Potential (GWP*) approach.
",Our World in Data based on Jones et al. (2023),Change in global mean surface temperature (in °C) caused by greenhouse gas emissions,,"This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative emissions of carbon dioxide, methane and nitrous oxide"
temperature_change_from_n2o,"Change in global mean surface temperature (in °C) caused by nitrous oxide emissions. This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative nitrous oxide emissions. The warming effects of each gas are calculated based on cumulative CO2-equivalent emissions using the Global Warming Potential (GWP*) approach.
",Our World in Data based on Jones et al. (2023),Change in global mean surface temperature (in °C) caused by nitrous oxide emissions,,This measures each country's contribution to global mean surface temperature (GMST) rise from its cumulative nitrous oxide emissions
total_ghg,"Total greenhouse gas emissions including land-use change and forestry, measured in million tonnes of carbon dioxide-equivalents.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total greenhouse gas emissions including land-use change and forestry (million tonnes of carbon dioxide-equivalents),million tonnes of carbon dioxide-equivalents,
total_ghg_excluding_lucf,"Total greenhouse gas emissions excluding land-use change and forestry, measured in million tonnes of carbon dioxide-equivalents.",Our World in Data based on Climate Analysis Indicators Tool (CAIT),Total greenhouse gas emissions excluding land-use change and forestry (million tonnes of carbon dioxide-equivalents),million tonnes of carbon dioxide-equivalents,
trade_co2,"Annual net carbon dioxide (CO₂) emissions embedded in trade, measured in million tonnes. Net CO₂ emissions embedded in trade is the net of CO₂ which is imported or exported via traded goods with an economy. A positive value denotes a country or region is a net importer of CO₂ emissions; a negative value indicates a country is a net exporter.",Global Carbon Budget (2022),Annual net carbon dioxide (CO₂) emissions embedded in trade (million tonnes),million tonnes,Net CO₂ emissions embedded in trade is the net of CO₂ which is imported or exported via traded goods with an economy
trade_co2_share,"Annual net carbon dioxide (CO₂) emissions embedded in trade, measured as a percentage of production-based emissions of CO₂. Net CO₂ emissions embedded in trade is the net of CO₂ which is imported or exported via traded goods with an economy. A positive value denotes a country or region is a net importer of CO₂ emissions; a negative value indicates a country is a net exporter.",Global Carbon Budget (2022),"Annual net carbon dioxide (CO₂) emissions embedded in trade, measured as a percentage of production-based emissions of CO₂ (percent)",percent,Net CO₂ emissions embedded in trade is the net of CO₂ which is imported or exported via traded goods with an economy
